x,y
1016.000,888.000
1016.000,888.000
1016.000,888.000
1018.000,886.000
1014.000,888.000
1014.000,888.000
1014.000,888.000
1014.000,888.000
1016.000,888.000
1016.000,888.000
1016.000,888.000
1016.000,886.000
1012.000,888.000
1012.000,888.000
1014.000,888.000
1014.000,888.000
1014.000,890.000
1014.000,890.000
1014.000,888.000
1012.000,888.000
1014.000,888.000
1014.000,890.000
1014.000,888.000
1012.000,888.000
1014.000,888.000
1016.000,890.000
1016.000,890.000
1016.000,888.000
1014.000,888.000
1016.000,890.000
1016.000,890.000
1016.000,890.000
1016.000,890.000
1016.000,888.000
1016.000,890.000
1016.000,888.000
1016.000,888.000
1018.000,890.000
1016.000,890.000
1018.000,890.000
1016.000,890.000
1016.000,888.000
1016.000,890.000
1016.000,888.000
1016.000,888.000
1016.000,888.000
1016.000,888.000
1016.000,888.000
1016.000,888.000
1016.000,888.000
1016.000,888.000
1016.000,888.000
1016.000,888.000
1016.000,890.000
1016.000,888.000
1016.000,888.000
1016.000,888.000
1018.000,886.000
1016.000,888.000
1014.000,890.000
1014.000,888.000
1014.000,888.000
1014.000,888.000
1014.000,888.000
1016.000,886.000
1014.000,888.000
1014.000,888.000
1014.000,890.000
1014.000,890.000
1014.000,890.000
1014.000,888.000
1014.000,888.000
1016.000,890.000
1014.000,888.000
1014.000,888.000
1014.000,888.000
1014.000,888.000
1014.000,888.000
1014.000,888.000
1014.000,888.000
1016.000,890.000
1014.000,892.000
1018.000,888.000
1016.000,892.000
1016.000,892.000
1016.000,890.000
1016.000,890.000
1016.000,892.000
1016.000,892.000
1016.000,892.000
1016.000,888.000
1016.000,888.000
1018.000,888.000
1018.000,888.000
1016.000,890.000
1016.000,890.000
1016.000,888.000
1016.000,888.000
1016.000,890.000
1016.000,890.000
1018.000,890.000
1018.000,888.000
1022.000,886.000
1016.000,888.000
1018.000,888.000
1016.000,888.000
1018.000,888.000
1018.000,890.000
1016.000,890.000
1016.000,888.000
1016.000,890.000
1014.000,890.000
1014.000,888.000
1012.000,888.000
1010.000,890.000
1008.000,888.000
1004.000,888.000
1004.000,892.000
1004.000,888.000
1004.000,894.000
1006.000,892.000
1008.000,892.000
1012.000,888.000
1018.000,892.000
1024.000,892.000
1030.000,892.000
1038.000,894.000
1050.000,892.000
1056.000,894.000
1070.000,894.000
1080.000,896.000
1092.000,896.000
1106.000,896.000
1122.000,894.000
1132.000,890.000
1142.000,892.000
1156.000,888.000
1162.000,888.000
1174.000,886.000
1186.000,882.000
1194.000,882.000
1204.000,882.000
1218.000,878.000
1224.000,878.000
1232.000,886.000
1236.000,880.000
1246.000,878.000
1254.000,876.000
1266.000,876.000
1270.000,876.000
1280.000,872.000
1284.000,870.000
1290.000,868.000
1294.000,870.000
1298.000,868.000
1304.000,868.000
1310.000,864.000
1316.000,864.000
1320.000,864.000
1322.000,862.000
1326.000,862.000
1330.000,860.000
1334.000,860.000
1336.000,858.000
1338.000,858.000
1340.000,858.000
1340.000,858.000
1342.000,856.000
1344.000,856.000
1346.000,854.000
1348.000,854.000
1352.000,852.000
1352.000,850.000
1354.000,852.000
1356.000,850.000
1356.000,852.000
1358.000,852.000
1360.000,850.000
1358.000,850.000
1358.000,852.000
1360.000,848.000
1360.000,848.000
1360.000,846.000
1362.000,846.000
1364.000,848.000
1364.000,850.000
1366.000,846.000
1366.000,846.000
1368.000,848.000
1368.000,848.000
1368.000,846.000
1368.000,846.000
1370.000,846.000
1368.000,846.000
1368.000,846.000
1370.000,846.000
1370.000,848.000
1370.000,848.000
1370.000,846.000
1370.000,846.000
1372.000,848.000
1372.000,846.000
1372.000,846.000
1370.000,846.000
1372.000,848.000
1372.000,848.000
1372.000,848.000
1372.000,848.000
1372.000,846.000
1370.000,850.000
1370.000,846.000
1368.000,848.000
1368.000,846.000
1370.000,846.000
1370.000,848.000
1368.000,848.000
1368.000,848.000
1368.000,852.000
1368.000,850.000
1366.000,850.000
1364.000,848.000
1366.000,850.000
1366.000,848.000
1366.000,850.000
1366.000,850.000
1364.000,848.000
1366.000,848.000
1368.000,850.000
1366.000,848.000
1366.000,848.000
1366.000,850.000
1366.000,848.000
1366.000,848.000
1366.000,848.000
1358.000,848.000
1352.000,850.000
1338.000,852.000
1322.000,856.000
1302.000,860.000
1278.000,864.000
1250.000,872.000
1146.000,18.000
1186.000,880.000
1154.000,884.000
1116.000,886.000
1080.000,886.000
1040.000,886.000
1006.000,884.000
970.000,880.000
934.000,876.000
900.000,870.000
868.000,866.000
838.000,858.000
808.000,854.000
786.000,852.000
766.000,838.000
746.000,838.000
732.000,832.000
720.000,830.000
712.000,828.000
710.000,828.000
710.000,828.000
712.000,830.000
722.000,830.000
732.000,836.000
748.000,842.000
766.000,846.000
788.000,852.000
812.000,860.000
840.000,866.000
870.000,872.000
902.000,878.000
934.000,884.000
972.000,886.000
1006.000,890.000
1046.000,894.000
1082.000,892.000
1116.000,892.000
1152.000,888.000
1184.000,890.000
1210.000,880.000
1240.000,878.000
1264.000,874.000
1288.000,872.000
1300.000,864.000
1316.000,858.000
1326.000,854.000
1330.000,854.000
1334.000,852.000
1336.000,850.000
1330.000,852.000
1316.000,858.000
1302.000,862.000
1286.000,864.000
1264.000,866.000
1238.000,872.000
1216.000,874.000
1186.000,878.000
1154.000,882.000
1122.000,882.000
1088.000,884.000
1054.000,884.000
1020.000,882.000
986.000,880.000
954.000,880.000
920.000,874.000
890.000,870.000
860.000,864.000
834.000,860.000
810.000,856.000
788.000,850.000
772.000,846.000
756.000,842.000
744.000,838.000
736.000,838.000
732.000,834.000
732.000,834.000
732.000,836.000
740.000,840.000
748.000,844.000
762.000,848.000
776.000,852.000
798.000,856.000
818.000,862.000
844.000,870.000
870.000,874.000
900.000,878.000
934.000,884.000
966.000,888.000
996.000,888.000
1030.000,890.000
1062.000,892.000
1096.000,890.000
1132.000,892.000
1162.000,888.000
1192.000,886.000
1212.000,880.000
1240.000,878.000
1258.000,870.000
1274.000,870.000
1292.000,868.000
1300.000,858.000
1306.000,858.000
1308.000,856.000
1306.000,858.000
1302.000,860.000
1296.000,860.000
1286.000,862.000
1268.000,866.000
1250.000,870.000
1232.000,874.000
1204.000,876.000
1180.000,878.000
1152.000,880.000
1122.000,882.000
1092.000,884.000
1060.000,884.000
1028.000,882.000
998.000,882.000
966.000,878.000
934.000,876.000
906.000,876.000
878.000,868.000
854.000,866.000
830.000,860.000
812.000,856.000
792.000,852.000
776.000,848.000
766.000,846.000
756.000,846.000
752.000,842.000
752.000,842.000
750.000,844.000
758.000,846.000
764.000,848.000
778.000,850.000
790.000,856.000
808.000,860.000
828.000,866.000
852.000,870.000
878.000,874.000
904.000,878.000
930.000,884.000
962.000,888.000
992.000,890.000
1024.000,890.000
1056.000,888.000
1084.000,890.000
1112.000,888.000
1144.000,890.000
1170.000,888.000
1196.000,884.000
1216.000,876.000
1238.000,876.000
1252.000,872.000
1266.000,870.000
1280.000,862.000
1282.000,864.000
1288.000,860.000
1286.000,864.000
1286.000,860.000
1278.000,864.000
1268.000,866.000
1254.000,868.000
1240.000,872.000
1218.000,872.000
1196.000,876.000
1174.000,878.000
1148.000,880.000
1120.000,882.000
1090.000,884.000
1062.000,884.000
1032.000,882.000
1004.000,884.000
974.000,882.000
946.000,878.000
920.000,876.000
892.000,872.000
870.000,868.000
846.000,864.000
828.000,862.000
812.000,856.000
796.000,856.000
786.000,852.000
776.000,850.000
768.000,846.000
768.000,850.000
770.000,850.000
774.000,852.000
778.000,852.000
790.000,856.000
802.000,860.000
818.000,862.000
836.000,868.000
858.000,872.000
882.000,876.000
906.000,880.000
932.000,884.000
958.000,886.000
988.000,888.000
1016.000,890.000
1048.000,892.000
1074.000,892.000
1102.000,890.000
1130.000,886.000
1156.000,888.000
1178.000,884.000
1196.000,882.000
1216.000,876.000
1232.000,876.000
1248.000,870.000
1256.000,872.000
1266.000,870.000
1272.000,862.000
1270.000,868.000
1266.000,866.000
1260.000,866.000
1252.000,868.000
1238.000,870.000
1226.000,870.000
1208.000,872.000
1188.000,878.000
1164.000,878.000
1144.000,882.000
1116.000,882.000
1092.000,884.000
1066.000,884.000
1038.000,884.000
1010.000,884.000
982.000,884.000
956.000,880.000
930.000,878.000
904.000,874.000
884.000,872.000
862.000,868.000
842.000,864.000
826.000,862.000
812.000,860.000
802.000,858.000
794.000,856.000
788.000,856.000
786.000,856.000
786.000,856.000
790.000,856.000
794.000,856.000
802.000,858.000
816.000,862.000
830.000,866.000
848.000,870.000
866.000,874.000
886.000,878.000
910.000,882.000
934.000,884.000
958.000,886.000
986.000,888.000
1014.000,892.000
1038.000,890.000
1068.000,892.000
1092.000,890.000
1120.000,890.000
1144.000,890.000
1164.000,886.000
1182.000,882.000
1202.000,882.000
1216.000,874.000
1230.000,876.000
1240.000,874.000
1246.000,868.000
1250.000,870.000
1250.000,868.000
1252.000,872.000
1244.000,868.000
1236.000,872.000
1226.000,872.000
1212.000,874.000
1196.000,876.000
1178.000,878.000
1160.000,880.000
1136.000,880.000
1114.000,884.000
1088.000,884.000
1066.000,884.000
1038.000,884.000
1012.000,884.000
986.000,884.000
964.000,882.000
938.000,878.000
916.000,878.000
894.000,874.000
874.000,870.000
856.000,868.000
840.000,864.000
828.000,862.000
816.000,862.000
808.000,862.000
802.000,860.000
800.000,860.000
800.000,860.000
802.000,862.000
808.000,860.000
816.000,864.000
826.000,868.000
840.000,868.000
856.000,872.000
874.000,876.000
894.000,878.000
916.000,882.000
938.000,886.000
962.000,886.000
986.000,890.000
1010.000,888.000
1036.000,890.000
1062.000,890.000
1084.000,890.000
1106.000,888.000
1132.000,890.000
1152.000,886.000
1168.000,882.000
1186.000,880.000
1202.000,878.000
1214.000,876.000
1224.000,876.000
1232.000,870.000
1234.000,872.000
1234.000,874.000
1234.000,870.000
1230.000,870.000
1222.000,874.000
1212.000,876.000
1202.000,876.000
1188.000,880.000
1168.000,878.000
1152.000,880.000
1130.000,882.000
1108.000,884.000
1086.000,884.000
1062.000,884.000
1038.000,886.000
1014.000,886.000
992.000,884.000
968.000,882.000
946.000,882.000
924.000,878.000
904.000,876.000
886.000,872.000
868.000,870.000
852.000,870.000
840.000,868.000
830.000,864.000
822.000,862.000
816.000,864.000
812.000,862.000
814.000,864.000
816.000,862.000
820.000,866.000
826.000,866.000
840.000,868.000
850.000,872.000
866.000,874.000
882.000,880.000
900.000,880.000
920.000,882.000
940.000,884.000
962.000,886.000
986.000,888.000
1010.000,890.000
1034.000,892.000
1056.000,890.000
1078.000,890.000
1100.000,888.000
1120.000,886.000
1140.000,886.000
1158.000,884.000
1174.000,882.000
1188.000,878.000
1198.000,878.000
1208.000,876.000
1214.000,872.000
1218.000,876.000
1220.000,876.000
1222.000,872.000
1214.000,876.000
1208.000,874.000
1200.000,876.000
1186.000,874.000
1176.000,878.000
1158.000,878.000
1144.000,882.000
1124.000,882.000
1104.000,884.000
1082.000,884.000
1060.000,886.000
1038.000,886.000
1016.000,884.000
992.000,884.000
972.000,882.000
950.000,882.000
930.000,880.000
910.000,878.000
894.000,876.000
878.000,874.000
864.000,872.000
852.000,868.000
842.000,868.000
834.000,868.000
830.000,866.000
826.000,866.000
826.000,866.000
830.000,868.000
834.000,868.000
840.000,870.000
850.000,872.000
862.000,874.000
876.000,876.000
892.000,878.000
908.000,882.000
926.000,884.000
948.000,886.000
966.000,888.000
990.000,888.000
1012.000,890.000
1032.000,890.000
1056.000,890.000
1074.000,890.000
1094.000,888.000
1114.000,886.000
1132.000,886.000
1150.000,884.000
1164.000,884.000
1176.000,878.000
1188.000,880.000
1196.000,880.000
1204.000,874.000
1204.000,876.000
1206.000,876.000
1206.000,878.000
1202.000,878.000
1196.000,876.000
1186.000,876.000
1176.000,880.000
1166.000,880.000
1150.000,882.000
1132.000,882.000
1116.000,884.000
1098.000,884.000
1078.000,884.000
1056.000,886.000
1036.000,886.000
1016.000,886.000
996.000,884.000
974.000,882.000
956.000,882.000
934.000,880.000
918.000,878.000
902.000,878.000
886.000,876.000
874.000,874.000
862.000,872.000
852.000,872.000
846.000,870.000
840.000,870.000
840.000,870.000
840.000,870.000
840.000,872.000
846.000,870.000
850.000,872.000
860.000,874.000
870.000,876.000
884.000,878.000
900.000,882.000
916.000,880.000
934.000,884.000
950.000,886.000
970.000,888.000
990.000,890.000
1012.000,890.000
1034.000,890.000
1052.000,890.000
1072.000,888.000
1092.000,888.000
1112.000,890.000
1126.000,886.000
1142.000,886.000
1156.000,884.000
1166.000,882.000
1176.000,878.000
1184.000,880.000
1190.000,878.000
1194.000,878.000
1196.000,874.000
1192.000,876.000
1190.000,876.000
1184.000,876.000
1176.000,878.000
1166.000,878.000
1156.000,882.000
