x,y
1016.000,850.000
1016.000,852.000
1016.000,852.000
1016.000,852.000
1018.000,850.000
1016.000,850.000
1020.000,850.000
1020.000,850.000
1018.000,852.000
1016.000,852.000
1018.000,852.000
1016.000,852.000
1018.000,852.000
1018.000,850.000
1018.000,852.000
1014.000,850.000
1018.000,848.000
1016.000,848.000
1018.000,850.000
1018.000,848.000
1018.000,848.000
1016.000,850.000
1016.000,852.000
1016.000,850.000
1014.000,848.000
1014.000,850.000
1014.000,848.000
1014.000,850.000
1014.000,850.000
1012.000,850.000
1012.000,848.000
1012.000,850.000
1012.000,848.000
1014.000,850.000
1012.000,848.000
1012.000,848.000
1014.000,850.000
1012.000,850.000
1012.000,852.000
1012.000,850.000
1012.000,850.000
1012.000,850.000
1010.000,850.000
1012.000,850.000
1012.000,850.000
1014.000,850.000
1012.000,852.000
1012.000,850.000
1012.000,852.000
1012.000,850.000
1012.000,852.000
1014.000,852.000
1014.000,850.000
1014.000,852.000
1014.000,852.000
1016.000,850.000
1014.000,852.000
1018.000,850.000
1016.000,850.000
1016.000,852.000
1016.000,852.000
1018.000,850.000
1016.000,850.000
1014.000,850.000
1018.000,850.000
1016.000,852.000
1016.000,852.000
1016.000,852.000
1018.000,850.000
1018.000,848.000
1018.000,850.000
1018.000,848.000
1016.000,852.000
1020.000,848.000
1018.000,850.000
1018.000,848.000
1018.000,850.000
1016.000,850.000
1016.000,850.000
1016.000,848.000
1016.000,850.000
1016.000,850.000
1014.000,850.000
1016.000,848.000
1016.000,848.000
1018.000,848.000
1018.000,848.000
1014.000,850.000
1014.000,850.000
1018.000,848.000
1014.000,848.000
1012.000,850.000
1012.000,850.000
1014.000,850.000
1012.000,848.000
1012.000,848.000
1012.000,850.000
1012.000,850.000
1012.000,850.000
1012.000,848.000
1012.000,850.000
1012.000,850.000
1012.000,848.000
1012.000,850.000
1014.000,848.000
1014.000,850.000
1014.000,850.000
1012.000,850.000
1012.000,850.000
1012.000,850.000
1014.000,850.000
1014.000,850.000
1012.000,850.000
1014.000,850.000
1014.000,852.000
1016.000,850.000
1012.000,850.000
1014.000,852.000
1014.000,852.000
1016.000,850.000
1018.000,850.000
1016.000,852.000
1016.000,852.000
1016.000,852.000
1016.000,850.000
1020.000,850.000
1016.000,850.000
1018.000,850.000
1018.000,850.000
1016.000,850.000
1016.000,850.000
1018.000,850.000
1018.000,850.000
1016.000,852.000
1018.000,850.000
1018.000,850.000
1018.000,850.000
1016.000,852.000
1018.000,852.000
1016.000,850.000
1016.000,850.000
1016.000,850.000
1014.000,852.000
1016.000,852.000
1016.000,850.000
1016.000,850.000
1016.000,850.000
1014.000,850.000
1016.000,852.000
1016.000,850.000
1016.000,848.000
1016.000,848.000
1014.000,850.000
1014.000,848.000
1014.000,850.000
1012.000,850.000
1012.000,852.000
1012.000,848.000
1016.000,848.000
1012.000,850.000
1012.000,852.000
1012.000,852.000
1014.000,848.000
1014.000,850.000
1016.000,848.000
1012.000,850.000
1014.000,850.000
1018.000,848.000
1014.000,852.000
1022.000,852.000
1030.000,852.000
1034.000,850.000
1038.000,852.000
1044.000,848.000
1046.000,850.000
1052.000,848.000
1056.000,852.000
1064.000,850.000
1070.000,852.000
1076.000,854.000
1080.000,852.000
1092.000,850.000
1098.000,850.000
1100.000,852.000
1108.000,852.000
1114.000,852.000
1122.000,852.000
1132.000,850.000
1138.000,852.000
1146.000,848.000
1152.000,850.000
1160.000,846.000
1168.000,848.000
1176.000,844.000
1182.000,846.000
1188.000,844.000
1196.000,842.000
1202.000,846.000
1208.000,848.000
1216.000,846.000
1220.000,846.000
1224.000,844.000
1230.000,844.000
1236.000,840.000
1246.000,848.000
1248.000,840.000
1254.000,840.000
1260.000,838.000
1266.000,838.000
1272.000,838.000
1280.000,830.000
1282.000,832.000
1286.000,834.000
1292.000,836.000
1294.000,828.000
1298.000,830.000
1300.000,828.000
1304.000,826.000
1306.000,830.000
1316.000,826.000
1318.000,830.000
1324.000,832.000
1334.000,822.000
1334.000,832.000
1340.000,822.000
1342.000,822.000
1344.000,830.000
1346.000,824.000
1350.000,826.000
1350.000,820.000
1352.000,822.000
1354.000,822.000
1354.000,820.000
1356.000,820.000
1358.000,820.000
1356.000,828.000
1362.000,818.000
1362.000,826.000
1364.000,818.000
1362.000,824.000
1366.000,816.000
1366.000,818.000
1368.000,822.000
1366.000,814.000
1364.000,822.000
1362.000,826.000
1364.000,818.000
1364.000,818.000
1364.000,818.000
1366.000,816.000
1368.000,814.000
1366.000,816.000
1366.000,818.000
1366.000,816.000
1368.000,816.000
1368.000,818.000
1370.000,816.000
1372.000,822.000
1368.000,814.000
1370.000,816.000
1368.000,814.000
1370.000,814.000
1370.000,816.000
1370.000,816.000
1370.000,816.000
1370.000,816.000
1370.000,816.000
1370.000,814.000
1370.000,816.000
1370.000,816.000
1368.000,816.000
1370.000,816.000
1370.000,818.000
1372.000,814.000
1370.000,814.000
1372.000,816.000
1372.000,816.000
1372.000,814.000
1372.000,816.000
1372.000,816.000
1372.000,816.000
1374.000,820.000
1372.000,814.000
1368.000,814.000
1364.000,822.000
1350.000,826.000
1340.000,826.000
1324.000,828.000
1306.000,832.000
1284.000,836.000
1264.000,840.000
1232.000,842.000
1204.000,846.000
1176.000,848.000
1640.000,848.000
1638.000,842.000
1078.000,858.000
1046.000,858.000
1010.000,854.000
1656.000,850.000
944.000,852.000
910.000,846.000
884.000,844.000
846.000,832.000
826.000,834.000
800.000,828.000
780.000,820.000
758.000,820.000
740.000,816.000
724.000,812.000
712.000,806.000
702.000,804.000
